Epoch,Time/train/epoch,Time/train/total,Time/val/epoch,Time/val/total,latent/train/latent_mean,latent/train/latent_std,latent/val/latent_mean,latent/val/latent_std,lr-Adam,recon/train_loss,recon/train_mae,recon/train_psnr,recon/train_ssim,recon/val_loss,recon/val_mae,recon/val_psnr,recon/val_ssim,step
,,,,,,,,,0.001,,,,,,,,,0
0.0,,,0.7866535186767578,10.753154754638672,,,-0.022301675751805305,0.9244674444198608,,,,,,0.027026301249861717,0.0530291348695755,15.691458702087402,0.901826024055481,0.0
0.0,13.760013580322266,13.760013580322266,,,-0.15989971160888672,1.6690744161605835,,,,0.06849328428506851,0.1017976701259613,12.075369834899902,0.6889933347702026,,,,,0.0
,,,,,,,,,0.001,,,,,,,,,188
1.0,,,0.7341151237487793,11.487269401550293,,,0.01921321637928486,0.7305155992507935,,,,,,0.01792581006884575,0.041037898510694504,17.4791202545166,0.9640302658081055,1.0
1.0,4.391303539276123,18.151317596435547,,,0.005203619599342346,0.7806249856948853,,,,0.021278364583849907,0.045083288103342056,16.749425888061523,0.9417884349822998,,,,,1.0
,,,,,,,,,0.001,,,,,,,,,376
2.0,,,0.7275550365447998,12.214824676513672,,,0.025959553197026253,0.7348098754882812,,,,,,0.016445869579911232,0.03933747485280037,17.853206634521484,0.9727611541748047,2.0
2.0,4.3494367599487305,22.50075340270996,,,0.024402791634202003,0.7183775901794434,,,,0.016637548804283142,0.03900781273841858,17.7949161529541,0.9729610085487366,,,,,2.0
,,,,,,,,,0.001,,,,,,,,,564
3.0,,,0.7456798553466797,12.960504531860352,,,0.027885742485523224,0.743539035320282,,,,,,0.014198229648172855,0.035973064601421356,18.49407386779785,0.9901973605155945,3.0
3.0,4.375568389892578,26.87632179260254,,,0.029377033933997154,0.7327343821525574,,,,0.014793075621128082,0.03665529191493988,18.305654525756836,0.9856601357460022,,,,,3.0
,,,,,,,,,0.001,,,,,,,,,752
4.0,,,0.7308776378631592,13.691381454467773,,,0.03206087276339531,0.7616640329360962,,,,,,0.013568993657827377,0.03532890975475311,18.690526962280273,0.9934757351875305,4.0
4.0,4.351254463195801,31.227577209472656,,,0.02932409755885601,0.7482825517654419,,,,0.013793627731502056,0.035401493310928345,18.607942581176758,0.9924741983413696,,,,,4.0
,,,,,,,,,0.001,,,,,,,,,940
5.0,,,0.747431755065918,14.438814163208008,,,0.027982747182250023,0.794278621673584,,,,,,0.012597696855664253,0.03415472060441971,19.01389503479004,1.0003975629806519,5.0
5.0,4.358821868896484,35.58639907836914,,,0.02903035469353199,0.7872903943061829,,,,0.012732891365885735,0.03406061977148056,18.955591201782227,0.9994778633117676,,,,,5.0
,,,,,,,,,0.001,,,,,,,,,1128
6.0,,,0.7514796257019043,15.190293312072754,,,0.026410480961203575,0.8292187452316284,,,,,,0.012303357012569904,0.03375079110264778,19.11542320251465,1.0019255876541138,6.0
6.0,4.384815216064453,39.971214294433594,,,0.02675004117190838,0.8116536736488342,,,,0.012156845070421696,0.033355969935655594,19.155529022216797,1.0032873153686523,,,,,6.0
