Epoch,Time/train/epoch,Time/train/total,Time/val/epoch,Time/val/total,latent/train/latent_mean,latent/train/latent_std,latent/val/latent_mean,latent/val/latent_std,lr-Adam,recon/train_loss,recon/train_mae,recon/train_psnr,recon/train_ssim,recon/val_loss,recon/val_mae,recon/val_psnr,recon/val_ssim,step
5.0,,,0.7774970531463623,14.069620132446289,,,-0.003031911328434944,0.7938007712364197,,,,,,0.013401098549365997,0.035109225660562515,18.745317459106445,0.9949788451194763,5.0
5.0,4.538341999053955,36.39690399169922,,,-0.002166430465877056,0.8173215985298157,,,,0.01317350473254919,0.034714628010988235,18.80696678161621,0.9957507848739624,,,,,5.0
,,,,,,,,,0.001,,,,,,,,,1128
6.0,,,0.7667560577392578,14.836376190185547,,,-0.004707402549684048,0.857268214225769,,,,,,0.012442264705896378,0.033914417028427124,19.067453384399414,1.0010173320770264,6.0
6.0,4.472831726074219,40.86973571777344,,,-0.0026484173722565174,0.8394075632095337,,,,0.012464482337236404,0.0338265597820282,19.04755973815918,1.000532865524292,,,,,6.0
,,,,,,,,,0.001,,,,,,,,,1316
7.0,,,0.7469725608825684,15.583348274230957,,,-0.004457520786672831,0.8704153895378113,,,,,,0.012310411781072617,0.034027084708213806,19.11305809020996,1.0005650520324707,7.0
7.0,4.450132369995117,45.31986999511719,,,-0.004162361845374107,0.8708033561706543,,,,0.011849883012473583,0.03307090327143669,19.266820907592773,1.0044175386428833,,,,,7.0
,,,,,,,,,0.001,,,,,,,,,1504
8.0,,,0.753410816192627,16.336759567260742,,,-0.004021942149847746,0.9072213768959045,,,,,,0.012065080925822258,0.0337064228951931,19.20073127746582,1.0005934238433838,8.0
8.0,4.513462543487549,49.83333206176758,,,-0.005529566667973995,0.8898307085037231,,,,0.011441919021308422,0.03260257467627525,19.41938591003418,1.0067497491836548,,,,,8.0
,,,,,,,,,0.001,,,,,,,,,1692
9.0,,,0.9254679679870605,17.262226104736328,,,-0.004872151650488377,0.9098749756813049,,,,,,0.01157903391867876,0.03300970420241356,19.379568099975586,1.0052595138549805,9.0
9.0,4.707118511199951,54.54045104980469,,,-0.005745731294155121,0.8964700698852539,,,,0.011179565452039242,0.032288968563079834,19.520034790039062,1.008349895477295,,,,,9.0
,,,,,,,,,0.001,,,,,,,,,1880
10.0,,,0.7430419921875,18.005268096923828,,,-0.007464411202818155,0.8966562747955322,,,,,,0.011649089865386486,0.033102408051490784,19.35150718688965,1.0033254623413086,10.0
10.0,4.484012603759766,59.02446365356445,,,-0.006389826536178589,0.9160455465316772,,,,0.010794546455144882,0.03179531171917915,19.67230796813965,1.0108020305633545,,,,,10.0
,,,,,,,,,0.001,,,,,,,,,2068
11.0,,,0.7780661582946777,18.783334732055664,,,-0.00872271228581667,0.930162787437439,,,,,,0.011833863332867622,0.03382844850420952,19.283180236816406,1.000597357749939,11.0
11.0,4.459090232849121,63.48355484008789,,,-0.006395477335900068,0.9260755181312561,,,,0.01051398552954197,0.0314360186457634,19.787004470825195,1.0124762058258057,,,,,11.0
,,,,,,,,,0.001,,,,,,,,,2256
12.0,,,0.761986494064331,19.54532241821289,,,-0.004596812184900045,0.923799455165863,,,,,,0.01112496666610241,0.032481953501701355,19.55228614807129,1.0075277090072632,12.0
12.0,4.519083023071289,68.00263977050781,,,-0.006489355582743883,0.937738299369812,,,,0.010252652689814568,0.031110918149352074,19.89607048034668,1.0139647722244263,,,,,12.0
,,,,,,,,,0.001,,,,,,,,,2444
13.0,,,0.7569270133972168,20.302248001098633,,,-0.0050496929325163364,0.9500208497047424,,,,,,0.010720177553594112,0.031997572630643845,19.714445114135742,1.0098826885223389,13.0
13.0,4.553292751312256,72.5559310913086,,,-0.006655700504779816,0.9500729441642761,,,,0.00999260414391756,0.03076902963221073,20.006868362426758,1.0156418085098267,,,,,13.0
,,,,,,,,,0.001,,,,,,,,,2632
14.0,,,0.7526166439056396,21.05486488342285,,,-0.0055546024814248085,0.9502929449081421,,,,,,0.010419735684990883,0.03151487559080124,19.8372802734375,1.0126606225967407,14.0
14.0,4.512558937072754,77.06848907470703,,,-0.006348808296024799,0.9575729370117188,,,,0.0098256915807724,0.030562730506062508,20.080806732177734,1.016520380973816,,,,,14.0
,,,,,,,,,0.001,,,,,,,,,2820
15.0,,,0.7798252105712891,21.83469009399414,,,-0.006058980245143175,0.948117196559906,,,,,,0.010878417640924454,0.032217543572187424,19.64983367919922,1.0092883110046387,15.0
15.0,4.475486755371094,81.54397583007812,,,-0.0065060569904744625,0.9715364575386047,,,,0.009587426669895649,0.030255790799856186,20.187015533447266,1.0179551839828491,,,,,15.0
,,,,,,,,,0.001,,,,,,,,,3008
16.0,,,0.7424592971801758,22.577150344848633,,,-0.005846486426889896,0.9883723855018616,,,,,,0.01044728234410286,0.03184874355792999,19.826894760131836,1.0102360248565674,16.0
16.0,4.483550071716309,86.02752685546875,,,-0.0068562570959329605,0.9740898609161377,,,,0.009437205269932747,0.03004482202231884,20.25513458251953,1.0188065767288208,,,,,16.0
,,,,,,,,,0.001,,,,,,,,,3196
17.0,,,0.8709578514099121,23.448108673095703,,,-0.006714554037898779,0.9656354188919067,,,,,,0.010208617895841599,0.031143907457590103,19.925861358642578,1.0137853622436523,17.0
17.0,4.958435535430908,90.9859619140625,,,-0.006652988493442535,0.9723619818687439,,,,0.009450364857912064,0.030082710087299347,20.250337600708008,1.0185307264328003,,,,,17.0
,,,,,,,,,0.001,,,,,,,,,3384
18.0,,,0.8365683555603027,24.28467559814453,,,-0.006055598147213459,0.985421895980835,,,,,,0.010444002225995064,0.031633004546165466,19.82672882080078,1.0119421482086182,18.0
18.0,4.693531036376953,95.67948913574219,,,-0.005943750962615013,0.9771302342414856,,,,0.009249289520084858,0.029774123802781105,20.342985153198242,1.019999384880066,,,,,18.0
,,,,,,,,,0.001,,,,,,,,,3572
19.0,,,0.8017549514770508,25.0864315032959,,,-0.00624928018078208,0.9649726748466492,,,,,,0.010386868380010128,0.03151078522205353,19.850841522216797,1.0125336647033691,19.0
19.0,4.4655046463012695,100.1449966430664,,,-0.005954028572887182,0.9847695231437683,,,,0.009101337753236294,0.029575785622000694,20.413084030151367,1.0209625959396362,,,,,19.0
,,,,,,,,,0.001,,,,,,,,,3760
20.0,,,0.9710912704467773,26.05752182006836,,,-0.00507192499935627,1.001619815826416,,,,,,0.010118607431650162,0.031339168548583984,19.96397590637207,1.013105034828186,20.0
20.0,4.961769104003906,105.10676574707031,,,-0.005706714000552893,0.9915273189544678,,,,0.008979788050055504,0.029415929690003395,20.47178077697754,1.0216046571731567,,,,,20.0
,,,,,,,,,0.001,,,,,,,,,3948
21.0,,,0.7623558044433594,26.81987762451172,,,-0.005492549855262041,1.0105676651000977,,,,,,0.009787620045244694,0.030753113329410553,20.109106063842773,1.014750361442566,21.0
