Epoch,Time/train/epoch,Time/train/total,Time/val/epoch,Time/val/total,latent/train/latent_mean,latent/train/latent_std,latent/val/latent_mean,latent/val/latent_std,lr-Adam,recon/train_loss,recon/train_mae,recon/train_psnr,recon/train_ssim,recon/val_loss,recon/val_mae,recon/val_psnr,recon/val_ssim,step
,,,,,,,,,0.001,,,,,,,,,0
0.0,,,0.663440465927124,1.7041771411895752,,,0.07305826991796494,2.5114998817443848,,,,,,0.03604187071323395,0.07865655422210693,14.441798210144043,0.6948723793029785,0.0
0.0,4.125006675720215,4.125006675720215,,,-0.190463587641716,2.6165106296539307,,,,0.05154389515519142,0.0979224368929863,13.078798294067383,0.6105680465698242,,,,,0.0
,,,,,,,,,0.001,,,,,,,,,375
1.0,,,0.7192749977111816,2.423452138900757,,,0.1738613247871399,2.2377240657806396,,,,,,0.031817302107810974,0.07260902971029282,14.983684539794922,0.7261195182800293,1.0
1.0,4.795353889465332,8.920360565185547,,,0.1306591033935547,2.377500057220459,,,,0.03360702842473984,0.07529106736183167,14.74283218383789,0.7129228711128235,,,,,1.0
,,,,,,,,,0.001,,,,,,,,,750
2.0,,,0.6929535865783691,3.116405725479126,,,0.23249642550945282,2.249281167984009,,,,,,0.030661076307296753,0.06994955986738205,15.147860527038574,0.7359650731086731,2.0
2.0,4.208730697631836,13.129091262817383,,,0.20609571039676666,2.307593822479248,,,,0.03064953163266182,0.07083006948232651,15.142863273620605,0.733138918876648,,,,,2.0
,,,,,,,,,0.001,,,,,,,,,1125
3.0,,,0.8423163890838623,3.9587221145629883,,,0.26917383074760437,2.3317084312438965,,,,,,0.028245829045772552,0.0673513412475586,15.50376033782959,0.7499227523803711,3.0
3.0,4.535219669342041,17.664310455322266,,,0.2520403563976288,2.30063533782959,,,,0.029069678857922554,0.06843485683202744,15.372241020202637,0.744005024433136,,,,,3.0
,,,,,,,,,0.001,,,,,,,,,1500
4.0,,,0.7925674915313721,4.751289367675781,,,0.27993229031562805,2.2351040840148926,,,,,,0.02767268382012844,0.06605827063322067,15.592733383178711,0.7544022798538208,4.0
4.0,4.8629302978515625,22.527240753173828,,,0.2770459055900574,2.312000036239624,,,,0.02791939303278923,0.06679978221654892,15.546701431274414,0.7517465949058533,,,,,4.0
,,,,,,,,,0.001,,,,,,,,,1875
5.0,,,0.8217630386352539,5.573052406311035,,,0.29098111391067505,2.305755138397217,,,,,,0.026676824316382408,0.06481802463531494,15.754664421081543,0.7618305087089539,5.0
5.0,5.169270992279053,27.69651222229004,,,0.292828768491745,2.3273229598999023,,,,0.027317220345139503,0.0658615306019783,15.641853332519531,0.7560335993766785,,,,,5.0
,,,,,,,,,0.001,,,,,,,,,2250
6.0,,,0.819605827331543,6.392658233642578,,,0.3108040392398834,2.3509790897369385,,,,,,0.026542045176029205,0.06489884108304977,15.775028228759766,0.7608016729354858,6.0
6.0,5.152339458465576,32.84885025024414,,,0.3028255105018616,2.3208959102630615,,,,0.026612676680088043,0.06483111530542374,15.755382537841797,0.7606131434440613,,,,,6.0
,,,,,,,,,0.001,,,,,,,,,2625
7.0,,,0.9612100124359131,7.35386848449707,,,0.30179622769355774,2.2927656173706055,,,,,,0.02744520828127861,0.06514590233564377,15.629764556884766,0.7570363879203796,7.0
7.0,5.200079917907715,38.04893112182617,,,0.3097330629825592,2.3288750648498535,,,,0.026108268648386,0.06405717879533768,15.838032722473145,0.7643899917602539,,,,,7.0
,,,,,,,,,0.001,,,,,,,,,3000
8.0,,,0.8455803394317627,8.199448585510254,,,0.3186458349227905,2.338505268096924,,,,,,0.025706041604280472,0.0636419802904129,15.914432525634766,0.7671270966529846,8.0
8.0,5.416796684265137,43.465728759765625,,,0.3148098886013031,2.3272082805633545,,,,0.02572641521692276,0.06348677724599838,15.902935028076172,0.7668810486793518,,,,,8.0
,,,,,,,,,0.001,,,,,,,,,3375
9.0,,,0.8125417232513428,9.011990547180176,,,0.3134908974170685,2.2302968502044678,,,,,,0.026149796321988106,0.06385962665081024,15.840341567993164,0.7652508020401001,9.0
9.0,4.965627670288086,48.43135452270508,,,0.32088345289230347,2.3316354751586914,,,,0.025384310632944107,0.06301753968000412,15.961297988891602,0.7690240144729614,,,,,9.0
,,,,,,,,,0.001,,,,,,,,,3750
10.0,,,1.1169562339782715,10.128946304321289,,,0.33675846457481384,2.399671792984009,,,,,,0.025395847856998444,0.06320933252573013,15.96729564666748,0.7686955332756042,10.0
10.0,5.37169075012207,53.80304718017578,,,0.32505273818969727,2.350390672683716,,,,0.024995610117912292,0.06247524172067642,16.028371810913086,0.7716442942619324,,,,,10.0
,,,,,,,,,0.001,,,,,,,,,4125
11.0,,,0.8508501052856445,10.97979736328125,,,0.3266315162181854,2.3459062576293945,,,,,,0.02501745894551277,0.06258506327867508,16.03481101989746,0.7719043493270874,11.0
11.0,5.18174934387207,58.98479461669922,,,0.3277115821838379,2.3493542671203613,,,,0.02476152963936329,0.06211937591433525,16.06888198852539,0.7732251882553101,,,,,11.0
,,,,,,,,,0.001,,,,,,,,,4500
