Epoch,Time/train/epoch,Time/train/total,Time/val/epoch,Time/val/total,latent/train/latent_mean,latent/train/latent_std,latent/val/latent_mean,latent/val/latent_std,lr-Adam,recon/train_loss,recon/train_mae,recon/train_psnr,recon/train_ssim,recon/val_loss,recon/val_mae,recon/val_psnr,recon/val_ssim,step
,,,,,,,,,0.001,,,,,,,,,0
0.0,,,0.771780252456665,1.8297398090362549,,,0.0026212381199002266,0.31412824988365173,,,,,,0.012708288617432117,0.03834034502506256,18.986967086791992,0.8737083077430725,0.0
0.0,4.567793369293213,4.567793369293213,,,-0.002857195446267724,0.3151843249797821,,,,0.026948023587465286,0.05730045586824417,16.58327865600586,0.7893412113189697,,,,,0.0
,,,,,,,,,0.001,,,,,,,,,375
1.0,,,0.8416459560394287,2.6713857650756836,,,0.011319580487906933,0.4505143165588379,,,,,,0.010256386362016201,0.034312788397073746,19.917572021484375,0.8938128352165222,1.0
1.0,5.199176788330078,9.766969680786133,,,0.0070822397246956825,0.3902103006839752,,,,0.011489884927868843,0.03624219819903374,19.412742614746094,0.8835234642028809,,,,,1.0
,,,,,,,,,0.001,,,,,,,,,750
2.0,,,0.8180646896362305,3.489450454711914,,,0.01052703894674778,0.5522291660308838,,,,,,0.009366864338517189,0.032873861491680145,20.311466217041016,0.9005616903305054,2.0
2.0,5.131170272827148,14.898139953613281,,,0.010003132745623589,0.5116223692893982,,,,0.00974115077406168,0.0333465114235878,20.125038146972656,0.8976534008979797,,,,,2.0
,,,,,,,,,0.001,,,,,,,,,1125
3.0,,,1.0676860809326172,4.557136535644531,,,0.01144822221249342,0.6221054792404175,,,,,,0.008455183357000351,0.031222838908433914,20.7559871673584,0.9083619713783264,3.0
3.0,5.212834358215332,20.11097526550293,,,0.011262552812695503,0.591950535774231,,,,0.008760413154959679,0.03169180452823639,20.585237503051758,0.9055444598197937,,,,,3.0
,,,,,,,,,0.001,,,,,,,,,1500
4.0,,,0.8075683116912842,5.3647050857543945,,,0.009276839904487133,0.6738163828849792,,,,,,0.008079475723206997,0.030735710635781288,20.95388412475586,0.9116500616073608,4.0
4.0,4.936710357666016,25.047685623168945,,,0.011187566444277763,0.646442711353302,,,,0.00815059244632721,0.03065926395356655,20.897377014160156,0.9104268550872803,,,,,4.0
,,,,,,,,,0.001,,,,,,,,,1875
5.0,,,0.7747693061828613,6.139473915100098,,,0.010612793266773224,0.7039713263511658,,,,,,0.007558207027614117,0.029712961986660957,21.24538803100586,0.9158597588539124,5.0
5.0,4.818643093109131,29.8663272857666,,,0.009619449265301228,0.6862487196922302,,,,0.007703241426497698,0.029879435896873474,21.1422061920166,0.9138954877853394,,,,,5.0
,,,,,,,,,0.001,,,,,,,,,2250
6.0,,,0.872683048248291,7.012157440185547,,,0.0078074135817587376,0.7308294177055359,,,,,,0.007424755021929741,0.029467541724443436,21.3215389251709,0.9168487191200256,6.0
6.0,5.808051109313965,35.67437744140625,,,0.008695976808667183,0.718986988067627,,,,0.00735568068921566,0.02927607297897339,21.342540740966797,0.9165076613426208,,,,,6.0
,,,,,,,,,0.001,,,,,,,,,2625
7.0,,,1.0569326877593994,8.069089889526367,,,0.007728729862719774,0.7623242139816284,,,,,,0.007159746252000332,0.029005998745560646,21.479238510131836,0.918525218963623,7.0
7.0,5.254818916320801,40.92919921875,,,0.007538969628512859,0.7503255009651184,,,,0.00702271843329072,0.02865923009812832,21.544628143310547,0.9191192984580994,,,,,7.0
,,,,,,,,,0.001,,,,,,,,,3000
8.0,,,0.8400030136108398,8.909092903137207,,,0.005249324720352888,0.7728437781333923,,,,,,0.006985921412706375,0.028701700270175934,21.586688995361328,0.9192514419555664,8.0
8.0,5.378669738769531,46.30786895751953,,,0.00629786029458046,0.771330714225769,,,,0.006797849200665951,0.028260989114642143,21.68512535095215,0.9207279682159424,,,,,8.0
,,,,,,,,,0.001,,,,,,,,,3375
9.0,,,1.069396734237671,9.978489875793457,,,0.005704705603420734,0.798061192035675,,,,,,0.0067712594754993916,0.028266487643122673,21.720294952392578,0.9220670461654663,9.0
9.0,5.590566635131836,51.898433685302734,,,0.006583821028470993,0.7859088778495789,,,,0.006678573787212372,0.02805955335497856,21.763198852539062,0.9215589165687561,,,,,9.0
,,,,,,,,,0.001,,,,,,,,,3750
10.0,,,0.8676130771636963,10.846102714538574,,,0.005212554708123207,0.826463520526886,,,,,,0.006519641727209091,0.027803843840956688,21.887744903564453,0.9237082600593567,10.0
10.0,5.090583801269531,56.989017486572266,,,0.0055914707481861115,0.8074309825897217,,,,0.006395585834980011,0.027486195787787437,21.951112747192383,0.9238884449005127,,,,,10.0
,,,,,,,,,0.001,,,,,,,,,4125
11.0,,,1.003490686416626,11.849593162536621,,,0.004848965909332037,0.8419908881187439,,,,,,0.006500226445496082,0.027893122285604477,21.900197982788086,0.9218088984489441,11.0
11.0,5.497304439544678,62.48632049560547,,,0.00514190411195159,0.824820339679718,,,,0.006260581314563751,0.027238383889198303,22.043489456176758,0.9247832298278809,,,,,11.0
,,,,,,,,,0.001,,,,,,,,,4500
12.0,,,0.8863992691040039,12.735992431640625,,,0.0058983988128602505,0.8324999809265137,,,,,,0.006325260270386934,0.027469871565699577,22.018484115600586,0.9252238869667053,12.0
12.0,5.321501731872559,67.80782318115234,,,0.005055727902799845,0.8362486958503723,,,,0.00616647070273757,0.02707947976887226,22.108776092529297,0.9253208637237549,,,,,12.0
,,,,,,,,,0.001,,,,,,,,,4875
13.0,,,0.7908105850219727,13.526803016662598,,,0.0054977950640022755,0.8547408580780029,,,,,,0.006193425972014666,0.027028851211071014,22.109853744506836,0.9262252449989319,13.0
13.0,5.759424686431885,73.56724548339844,,,0.0047696903347969055,0.8452265858650208,,,,0.006085976958274841,0.026911625638604164,22.165319442749023,0.9261026978492737,,,,,13.0
,,,,,,,,,0.001,,,,,,,,,5250
14.0,,,1.0301599502563477,14.556962966918945,,,0.004287438932806253,0.8502851724624634,,,,,,0.0064424131996929646,0.02751314826309681,21.937055587768555,0.924065113067627,14.0
14.0,6.431569576263428,79.99881744384766,,,0.004387124441564083,0.8601393103599548,,,,0.0059021697379648685,0.026537340134382248,22.298521041870117,0.9276154637336731,,,,,14.0
,,,,,,,,,0.001,,,,,,,,,5625
15.0,,,1.020799160003662,15.577762603759766,,,0.003523853374645114,0.8667578101158142,,,,,,0.006262355949729681,0.02721354179084301,22.062129974365234,0.9251145124435425,15.0
15.0,6.304296493530273,86.30311584472656,,,0.004323131404817104,0.869962215423584,,,,0.005782389547675848,0.02628319337964058,22.387039184570312,0.9285403490066528,,,,,15.0
,,,,,,,,,0.001,,,,,,,,,6000
16.0,,,1.0507652759552002,16.628528594970703,,,0.0035721200983971357,0.8778659105300903,,,,,,0.0059868572279810905,0.026724107563495636,22.257598876953125,0.9276329874992371,16.0
16.0,6.229787826538086,92.53290557861328,,,0.003814069088548422,0.872671902179718,,,,0.005766295827925205,0.02625659666955471,22.400737762451172,0.9285282492637634,,,,,16.0
,,,,,,,,,0.001,,,,,,,,,6375
17.0,,,1.0837311744689941,17.71225929260254,,,0.005313676781952381,0.8611419200897217,,,,,,0.006240034941583872,0.027347354218363762,22.0767765045166,0.9251436591148376,17.0
17.0,6.608739852905273,99.14163970947266,,,0.0036843563430011272,0.8894791603088379,,,,0.005583781749010086,0.025878161191940308,22.540205001831055,0.9300947189331055,,,,,17.0
,,,,,,,,,0.001,,,,,,,,,6750
18.0,,,0.9627876281738281,18.675046920776367,,,0.00135631556622684,0.8877057433128357,,,,,,0.006299981847405434,0.027521444484591484,22.034385681152344,0.9230973124504089,18.0
18.0,6.0810041427612305,105.22264862060547,,,0.003657005960121751,0.893401026725769,,,,0.005539983976632357,0.025794779881834984,22.574007034301758,0.9304385781288147,,,,,18.0
,,,,,,,,,0.001,,,,,,,,,7125
19.0,,,1.0450389385223389,19.72008514404297,,,0.0003749402239918709,0.8930729031562805,,,,,,0.0064232503063976765,0.0280652716755867,21.948822021484375,0.9204092621803284,19.0
19.0,6.6447649002075195,111.8674087524414,,,0.002737980568781495,0.8995208144187927,,,,0.0054957191459834576,0.025705797597765923,22.609302520751953,0.9307177066802979,,,,,19.0
,,,,,,,,,0.001,,,,,,,,,7500
